name,wave,ir,tune,body,punch,length,drive,colour,metal,reverb,reverbDecay,width,sub,impact,space,grit,shape,evolve,destroy,clipper,calibration,family,mode
Guillotine / TIGHT,2,0,52.939,0.6273,0.7082999999999999,254.80079999999998,0.6624,0.2827,0.1414,0.0,400.0,1.0,0.6592,0.9514999999999999,0.0,0.6706000000000001,0.4557,0.40449999999999997,0.8534,0.9484,-5.0,HARD,CORE
Hard Clean / HEAVY,2,0,54.556,0.8254,0.8034,407.14799999999997,0.4478,0.3834,0.11760000000000001,0.0,400.0,1.0,0.9569,0.7964,0.0,0.5682,0.359,0.12680000000000002,0.6575,0.6515,-5.0,HARD,CORE
Peak Control / HEAVY,2,0,47.985,0.94,0.7951,344.694,0.5710999999999999,0.3439,0.11560000000000001,0.0,400.0,1.0,0.835,0.6454000000000001,0.0,0.5759,0.3043,0.37720000000000004,0.6041,0.6602,-5.0,HARD,CORE
Flat Top / HEAVY,2,0,47.5,0.94,0.7509,440.0,0.45189999999999997,0.5136,0.163,0.0,400.0,1.0,0.96,0.6902,0.0,0.9092,0.339,0.4035,0.7379,0.6093999999999999,-5.0,HARD,CORE
Redline / HEAVY,2,0,54.196,0.94,0.7040000000000001,348.474,0.6335,0.5642999999999999,0.2431,0.0,400.0,1.0,0.843,0.6466000000000001,0.0,0.7887,0.6133,0.3301,0.8772,0.6384,-5.0,HARD,CORE
Block Maker / HEAVY,2,0,48.315,0.7844,0.52,440.0,0.618,0.39790000000000003,0.2108,0.0,400.0,1.0,0.8439,0.7141000000000001,0.0,0.7675,0.4253,0.1814,0.5005,0.6888,-5.0,HARD,CORE
Crushed Rail / HEAVY,2,0,47.5,0.94,0.5323,435.456,0.7947,0.5149999999999999,0.27890000000000004,0.0,400.0,1.0,0.96,0.64,0.0,0.6036,0.3919,0.1901,0.8874,0.6512,-5.0,HARD,CORE
Clipped Concrete / HEAVY,2,0,47.5,0.8529,0.6222,345.01599999999996,0.533,0.5051,0.06,0.0,400.0,1.0,0.9195,0.7684000000000001,0.0,0.8206,0.3217,0.38830000000000003,0.7673,0.7512,-5.0,HARD,CORE
Hammer Hall / HEAVY,2,0,51.809,0.7837000000000001,0.7587,383.5439999999999,0.4411,0.23149999999999998,0.060300000000000006,0.0,400.0,1.0,0.8783,0.873,0.0,0.9066,0.709,0.12199999999999998,0.8402,0.7177,-5.0,HARD,CORE
Main Room Block / HEAVY,2,0,49.368,0.94,0.7058,440.0,0.49459999999999993,0.23720000000000002,0.2562,0.0,400.0,1.0,0.96,0.8230000000000001,0.0,0.745,0.3839,0.08,0.7129,0.8802,-5.0,HARD,CORE
Guillotine / HEAVY,2,0,48.139,0.8473,0.52,440.0,0.5973999999999999,0.22,0.1114,0.0,400.0,1.0,0.8692,0.7965,0.0,0.6206,0.4057,0.3795,0.8334,0.9184,-5.0,HARD,CORE
Hard Clean / SUSTAIN,2,0,58.056,0.7554,0.8333999999999999,436.23,0.4278,0.5334,0.24760000000000001,0.0,400.0,1.0,0.7269,0.8164,0.0,0.5882000000000001,0.45899999999999996,0.3268,0.6975,0.5815,-5.0,HARD,CORE
Peak Control / SUSTAIN,2,0,51.485,0.9301999999999999,0.8251,369.315,0.5510999999999999,0.4939,0.2456,0.0,400.0,1.0,0.64,0.6654,0.0,0.5959,0.4043,0.5,0.6441,0.5902000000000001,-5.0,HARD,CORE
Flat Top / SUSTAIN,2,0,49.697,0.9043,0.7808999999999999,440.0,0.4319,0.6636,0.29300000000000004,0.0,400.0,1.0,0.795,0.7101999999999999,0.0,0.92,0.43900000000000006,0.5,0.7779,0.56,-5.0,HARD,CORE
Redline / SUSTAIN,2,0,57.696,0.9173,0.734,373.365,0.6134999999999999,0.68,0.36,0.0,400.0,1.0,0.64,0.6666000000000001,0.0,0.8087,0.7132999999999999,0.5,0.9172,0.5684,-5.0,HARD,CORE
Block Maker / SUSTAIN,2,0,51.815,0.7143999999999999,0.5248999999999999,440.0,0.598,0.5479,0.3408,0.0,400.0,1.0,0.64,0.7341,0.0,0.7875,0.5253,0.38139999999999996,0.5405,0.6188,-5.0,HARD,CORE
Crushed Rail / SUSTAIN,2,0,50.121,0.94,0.5623,440.0,0.7746999999999999,0.6649999999999999,0.36,0.0,400.0,1.0,0.8232,0.64,0.0,0.6236,0.4919,0.3901,0.9274,0.5812,-5.0,HARD,CORE
Clipped Concrete / SUSTAIN,2,0,49.478,0.7828999999999999,0.6521999999999999,369.65999999999997,0.513,0.6551,0.185,0.0,400.0,1.0,0.6895,0.7884,0.0,0.8406,0.42169999999999996,0.5,0.8073,0.6812,-5.0,HARD,CORE
Hammer Hall / SUSTAIN,2,0,55.309,0.7137,0.7887,410.93999999999994,0.42110000000000003,0.38149999999999995,0.19030000000000002,0.0,400.0,1.0,0.6483,0.893,0.0,0.92,0.76,0.32199999999999995,0.8802,0.6477,-5.0,HARD,CORE
Main Room Block / SUSTAIN,2,0,52.868,0.94,0.7358,440.0,0.47459999999999997,0.3872,0.36,0.0,400.0,1.0,0.8021,0.843,0.0,0.765,0.4839,0.265,0.7529,0.8102,-5.0,HARD,CORE
Guillotine / SUSTAIN,2,0,51.639,0.7773,0.5383,440.0,0.5773999999999999,0.3627,0.2414,0.0,400.0,1.0,0.64,0.8165,0.0,0.6406000000000001,0.5057,0.5,0.8734000000000001,0.8484,-5.0,HARD,CORE
Hard Clean / MUTANT,2,0,59.256,0.5754,0.94,226.8396,0.4278,0.6134,0.2976,0.0,400.0,1.0,0.6769,0.9463999999999999,0.0,0.6482,0.5389999999999999,0.3468,0.7475,0.6114999999999999,-5.0,HARD,CORE
Peak Control / MUTANT,2,0,52.685,0.7502,0.94,192.0438,0.5510999999999999,0.5739,0.2956,0.0,400.0,1.0,0.64,0.7954000000000001,0.0,0.6558999999999999,0.4843,0.5,0.6940999999999999,0.6202000000000001,-5.0,HARD,CORE
Flat Top / MUTANT,2,0,50.897000000000006,0.7243,0.9309,264.87239999999997,0.4319,0.68,0.34299999999999997,0.0,400.0,1.0,0.745,0.8402000000000001,0.0,0.92,0.519,0.5,0.8279000000000001,0.5693999999999999,-5.0,HARD,CORE
Redline / MUTANT,2,0,58.896,0.7373000000000001,0.884,194.1498,0.6134999999999999,0.68,0.36,0.0,400.0,1.0,0.64,0.7966,0.0,0.8686999999999999,0.76,0.5,0.95,0.5984,-5.0,HARD,CORE
Block Maker / MUTANT,2,0,53.015,0.56,0.6748999999999999,263.04720000000003,0.598,0.6279,0.36,0.0,400.0,1.0,0.64,0.8641000000000001,0.0,0.8474999999999999,0.6053,0.4014,0.5905,0.6488,-5.0,HARD,CORE
Crushed Rail / MUTANT,2,0,51.321000000000005,0.7969,0.7122999999999999,242.61120000000003,0.7746999999999999,0.68,0.36,0.0,400.0,1.0,0.7732,0.7654000000000001,0.0,0.6836,0.5719000000000001,0.4101,0.95,0.6112,-5.0,HARD,CORE
Clipped Concrete / MUTANT,2,0,50.678000000000004,0.6029,0.8021999999999999,192.2232,0.513,0.68,0.235,0.0,400.0,1.0,0.64,0.9184000000000001,0.0,0.9006,0.5017,0.5,0.8573,0.7112,-5.0,HARD,CORE
Hammer Hall / MUTANT,2,0,56.509,0.56,0.9387,213.6888,0.42110000000000003,0.46149999999999997,0.2403,0.0,400.0,1.0,0.64,0.97,0.0,0.92,0.76,0.34199999999999997,0.9301999999999999,0.6777,-5.0,HARD,CORE
Main Room Block / MUTANT,2,0,54.068000000000005,0.7626000000000001,0.8857999999999999,279.9654,0.47459999999999997,0.4672,0.36,0.0,400.0,1.0,0.7521,0.97,0.0,0.825,0.5639000000000001,0.28500000000000003,0.8029,0.8402000000000001,-5.0,HARD,CORE
Guillotine / MUTANT,2,0,52.839000000000006,0.5973,0.6882999999999999,276.0342,0.5773999999999999,0.4427,0.2914,0.0,400.0,1.0,0.64,0.9464999999999999,0.0,0.7006,0.5857,0.5,0.9234,0.8784000000000001,-5.0,HARD,CORE
Industrial Clean,3,0,50.216,0.7996,0.7388,322.3,0.5157,0.5385,0.5952,0.0,400.0,1.0,0.7553,0.7429,0.0,0.4456,0.8819,0.4954,0.6057,0.7461,-5.0,INDUSTRIAL,CORE
Reactor Core,3,0,47.137,0.8007,0.7715,465.49,0.4233,0.5396,0.7473,0.0,400.0,1.0,0.808,0.5841,0.0,0.83,0.6668,0.5303,0.6616,0.4896,-5.0,INDUSTRIAL,CORE
Black Foundry,3,0,55.092,0.7908,0.696,492.65,0.3819,0.5091,0.7479,0.0,400.0,1.0,0.8421,0.8459,0.0,0.5055,0.5272,0.6921,0.6175,0.379,-5.0,INDUSTRIAL,CORE
Steel Chamber,3,0,51.003,0.7576,0.7979,498.0,0.4247,0.4005,0.4647,0.0,400.0,1.0,0.9337,0.917,0.0,0.5108,0.7147,0.5679,0.6071,0.5909,-5.0,INDUSTRIAL,CORE
Container Impact,3,0,50.15,0.9135,0.6603,327.66,0.5807,0.3143,0.7673,0.0,400.0,1.0,0.7648,0.7344,0.0,0.848,0.453,0.6705,0.7136,0.4811,-5.0,INDUSTRIAL,CORE
Factory Floor,3,0,55.937,0.8549,0.614,324.79,0.6329,0.3022,0.4362,0.0,400.0,1.0,0.9358,0.7977,0.0,0.434,0.5122,0.6885,0.6055,0.7314,-5.0,INDUSTRIAL,CORE
Rust Press,3,0,47.388,0.8566,0.5035,346.16,0.7367,0.4761,0.4817,0.0,400.0,1.0,0.9753,0.8709,0.0,0.7294,0.6836,0.5295,0.8225,0.7614,-5.0,INDUSTRIAL,CORE
Broken Piston,3,0,51.486,0.9773,0.8674,368.87,0.4607,0.6546,0.7692,0.0,400.0,1.0,0.7856,0.8835,0.0,0.4689,0.7155,0.8741,0.626,0.5176,-5.0,INDUSTRIAL,CORE
Machine Teeth,3,0,50.441,0.9805,0.5241,394.32,0.5226,0.3201,0.8679,0.0,400.0,1.0,0.9412,0.916,0.0,0.8469,0.7265,0.8682,0.4138,0.6425,-5.0,INDUSTRIAL,CORE
Underground Unit,3,0,56.931,0.7474,0.5024,364.12,0.6797,0.5743,0.7807,0.0,400.0,1.0,0.9483,0.8652,0.0,0.5443,0.7293,0.7776,0.8257,0.5311,-5.0,INDUSTRIAL,CORE
Industrial Clean / TIGHT,3,0,51.716,0.68,0.8588,240.0,0.47570000000000007,0.5685,0.5551999999999999,0.0,400.0,1.0,0.64,0.8429,0.0,0.4856,0.9,0.42,0.5757,0.6661,-5.0,INDUSTRIAL,CORE
Reactor Core / TIGHT,3,0,48.637,0.6807,0.8915,279.294,0.38330000000000003,0.5696,0.7072999999999999,0.0,400.0,1.0,0.64,0.6840999999999999,0.0,0.86,0.7467999999999999,0.4503,0.6315999999999999,0.40959999999999996,-5.0,INDUSTRIAL,CORE
Black Foundry / TIGHT,3,0,56.592,0.68,0.816,295.59,0.34190000000000004,0.5391,0.7079,0.0,400.0,1.0,0.6720999999999999,0.9459,0.0,0.5455,0.6072,0.6121000000000001,0.5875,0.3,-5.0,INDUSTRIAL,CORE
Steel Chamber / TIGHT,3,0,52.503,0.68,0.9179,298.8,0.38470000000000004,0.4305,0.4247,0.0,400.0,1.0,0.7636999999999999,0.95,0.0,0.5508000000000001,0.7947,0.48789999999999994,0.5771,0.5109,-5.0,INDUSTRIAL,CORE
Container Impact / TIGHT,3,0,51.65,0.7935,0.7803,240.0,0.5407,0.34430000000000005,0.7273,0.0,400.0,1.0,0.64,0.8344,0.0,0.86,0.533,0.5905,0.6836,0.4011,-5.0,INDUSTRIAL,CORE
Factory Floor / TIGHT,3,0,57.437,0.7349,0.734,240.0,0.5929,0.33220000000000005,0.3962,0.0,400.0,1.0,0.7657999999999999,0.8976999999999999,0.0,0.474,0.5922,0.6085,0.5755,0.6514000000000001,-5.0,INDUSTRIAL,CORE
Rust Press / TIGHT,3,0,48.888,0.7366,0.6234999999999999,240.0,0.6967,0.5061,0.44170000000000004,0.0,400.0,1.0,0.8052999999999999,0.95,0.0,0.7694000000000001,0.7636,0.44949999999999996,0.7925,0.6814,-5.0,INDUSTRIAL,CORE
Broken Piston / TIGHT,3,0,52.986,0.8573,0.92,240.0,0.4207,0.6846,0.7292,0.0,400.0,1.0,0.64,0.95,0.0,0.5089,0.7955,0.7941,0.596,0.43759999999999993,-5.0,INDUSTRIAL,CORE
Machine Teeth / TIGHT,3,0,51.941,0.8605,0.6441,240.0,0.4826,0.35009999999999997,0.8279,0.0,400.0,1.0,0.7712,0.95,0.0,0.86,0.8065,0.7882,0.38380000000000003,0.5625,-5.0,INDUSTRIAL,CORE
Underground Unit / TIGHT,3,0,58.431,0.68,0.6224,240.0,0.6396999999999999,0.6043000000000001,0.7406999999999999,0.0,400.0,1.0,0.7783,0.95,0.0,0.5843,0.8092999999999999,0.6976,0.7957,0.4511,-5.0,INDUSTRIAL,CORE
Industrial Clean / HEAVY,3,0,45.0,0.8795999999999999,0.6588,477.004,0.37570000000000003,0.5085,0.5052,0.0,400.0,1.0,0.8252999999999999,0.6929,0.0,0.5256,0.9,0.42,0.5257000000000001,0.7461,-5.0,INDUSTRIAL,CORE
Reactor Core / HEAVY,3,0,45.0,0.8806999999999999,0.6915,540.0,0.32,0.5095999999999999,0.6573,0.0,400.0,1.0,0.8780000000000001,0.5340999999999999,0.0,0.86,0.7168,0.42,0.5816,0.4896,-5.0,INDUSTRIAL,CORE
Black Foundry / HEAVY,3,0,49.292,0.8707999999999999,0.616,540.0,0.32,0.47909999999999997,0.6579,0.0,400.0,1.0,0.9120999999999999,0.7958999999999999,0.0,0.5854999999999999,0.5772,0.4821000000000001,0.5375000000000001,0.379,-5.0,INDUSTRIAL,CORE
Steel Chamber / HEAVY,3,0,45.203,0.8376,0.7179000000000001,540.0,0.32,0.37050000000000005,0.37470000000000003,0.0,400.0,1.0,0.98,0.867,0.0,0.5908,0.7647,0.42,0.5271,0.5909,-5.0,INDUSTRIAL,CORE
Container Impact / HEAVY,3,0,45.0,0.99,0.5803,484.9368,0.4407,0.2843,0.6773,0.0,400.0,1.0,0.8348,0.6844,0.0,0.86,0.503,0.4605,0.6336,0.4811,-5.0,INDUSTRIAL,CORE
Factory Floor / HEAVY,3,0,50.137,0.9349,0.534,480.6892,0.4929,0.2722,0.36,0.0,400.0,1.0,0.98,0.7476999999999999,0.0,0.514,0.5622,0.47850000000000004,0.5255000000000001,0.7314,-5.0,INDUSTRIAL,CORE
Rust Press / HEAVY,3,0,45.0,0.9366,0.44,512.3168000000001,0.5967,0.44610000000000005,0.39170000000000005,0.0,400.0,1.0,0.98,0.8209,0.0,0.8094,0.7336,0.42,0.7425,0.7614,-5.0,INDUSTRIAL,CORE
Broken Piston / HEAVY,3,0,45.686,0.99,0.7874,540.0,0.3207,0.6245999999999999,0.6792,0.0,400.0,1.0,0.8555999999999999,0.8334999999999999,0.0,0.5488999999999999,0.7655000000000001,0.6641,0.546,0.5176,-5.0,INDUSTRIAL,CORE
Machine Teeth / HEAVY,3,0,45.0,0.99,0.4441,540.0,0.38259999999999994,0.2901,0.7779,0.0,400.0,1.0,0.98,0.866,0.0,0.86,0.7765000000000001,0.6582,0.36,0.6425,-5.0,INDUSTRIAL,CORE
Underground Unit / HEAVY,3,0,51.131,0.8273999999999999,0.44,538.8976,0.5397,0.5443,0.6907,0.0,400.0,1.0,0.98,0.8151999999999999,0.0,0.6243,0.7793,0.5676,0.7457,0.5311,-5.0,INDUSTRIAL,CORE
Industrial Clean / SUSTAIN,3,0,50.216,0.8795999999999999,0.6588,499.56500000000005,0.46570000000000006,0.6385,0.7152,0.0,400.0,1.0,0.64,0.6629,0.0,0.4656,0.9,0.6754,0.6357,0.6261,-5.0,INDUSTRIAL,CORE
Reactor Core / SUSTAIN,3,0,47.137,0.8806999999999999,0.6915,540.0,0.3733,0.6396,0.8673,0.0,400.0,1.0,0.64,0.52,0.0,0.85,0.7667999999999999,0.7102999999999999,0.6916,0.3696,-5.0,INDUSTRIAL,CORE
Black Foundry / SUSTAIN,3,0,55.092,0.8707999999999999,0.616,540.0,0.33190000000000003,0.6091,0.8679,0.0,400.0,1.0,0.6720999999999999,0.7659,0.0,0.5255,0.6272,0.8721000000000001,0.6475000000000001,0.3,-5.0,INDUSTRIAL,CORE
Steel Chamber / SUSTAIN,3,0,51.003,0.8376,0.7179000000000001,540.0,0.37470000000000003,0.5005000000000001,0.5847,0.0,400.0,1.0,0.7636999999999999,0.8370000000000001,0.0,0.5308,0.8147,0.7479,0.6371,0.4709,-5.0,INDUSTRIAL,CORE
Container Impact / SUSTAIN,3,0,50.15,0.99,0.5803,507.87300000000005,0.5307,0.4143,0.8873,0.0,400.0,1.0,0.64,0.6544000000000001,0.0,0.86,0.553,0.8505,0.7436,0.36110000000000003,-5.0,INDUSTRIAL,CORE
Factory Floor / SUSTAIN,3,0,55.937,0.9349,0.534,503.4245,0.5829,0.4022,0.5562,0.0,400.0,1.0,0.7657999999999999,0.7177,0.0,0.454,0.6122,0.8685,0.6355000000000001,0.6114,-5.0,INDUSTRIAL,CORE
Rust Press / SUSTAIN,3,0,47.388,0.9366,0.44,536.548,0.6867,0.5761000000000001,0.6017,0.0,400.0,1.0,0.8052999999999999,0.7909,0.0,0.7494000000000001,0.7836,0.7095,0.85,0.6414,-5.0,INDUSTRIAL,CORE
Broken Piston / SUSTAIN,3,0,51.486,0.99,0.7874,540.0,0.4107,0.72,0.8892,0.0,400.0,1.0,0.64,0.8035,0.0,0.4889,0.8155,0.9,0.656,0.39759999999999995,-5.0,INDUSTRIAL,CORE
Machine Teeth / SUSTAIN,3,0,50.441,0.99,0.4441,540.0,0.47259999999999996,0.42010000000000003,0.9,0.0,400.0,1.0,0.7712,0.8360000000000001,0.0,0.86,0.8265,0.9,0.4438,0.5225,-5.0,INDUSTRIAL,CORE
Underground Unit / SUSTAIN,3,0,56.931,0.8273999999999999,0.44,540.0,0.6296999999999999,0.6743,0.9,0.0,400.0,1.0,0.7783,0.7852,0.0,0.5643,0.8292999999999999,0.9,0.85,0.4111,-5.0,INDUSTRIAL,CORE
Industrial Clean / MUTANT,3,0,51.716,0.68,0.8188,251.394,0.4857,0.7184999999999999,0.7652,0.0,400.0,1.0,0.64,0.8229,0.0,0.5256,0.9,0.6754,0.7057,0.6661,-5.0,INDUSTRIAL,CORE
Reactor Core / MUTANT,3,0,48.637,0.6807,0.8514999999999999,363.0822,0.3933,0.7196,0.9,0.0,400.0,1.0,0.64,0.6640999999999999,0.0,0.86,0.8368,0.7102999999999999,0.7615999999999999,0.40959999999999996,-5.0,INDUSTRIAL,CORE
Black Foundry / MUTANT,3,0,56.592,0.68,0.7759999999999999,384.267,0.3519,0.6891,0.9,0.0,400.0,1.0,0.6420999999999999,0.9259,0.0,0.5854999999999999,0.6972,0.8721000000000001,0.7175,0.3,-5.0,INDUSTRIAL,CORE
Steel Chamber / MUTANT,3,0,52.503,0.68,0.8779,388.44,0.39470000000000005,0.5805,0.6347,0.0,400.0,1.0,0.7337,0.95,0.0,0.5908,0.8847,0.7479,0.7071,0.5109,-5.0,INDUSTRIAL,CORE
Container Impact / MUTANT,3,0,51.65,0.7935,0.7403,255.57480000000004,0.5507,0.4943,0.9,0.0,400.0,1.0,0.64,0.8144,0.0,0.86,0.623,0.8505,0.8136,0.4011,-5.0,INDUSTRIAL,CORE
Factory Floor / MUTANT,3,0,57.437,0.7349,0.694,253.33620000000002,0.6029,0.4822,0.6062,0.0,400.0,1.0,0.7358,0.8776999999999999,0.0,0.514,0.6822,0.8685,0.7055,0.6514000000000001,-5.0,INDUSTRIAL,CORE
Rust Press / MUTANT,3,0,48.888,0.7366,0.5834999999999999,270.00480000000005,0.7067,0.6561,0.6517000000000001,0.0,400.0,1.0,0.7752999999999999,0.95,0.0,0.8094,0.8536,0.7095,0.85,0.6814,-5.0,INDUSTRIAL,CORE
Broken Piston / MUTANT,3,0,52.986,0.8573,0.92,287.71860000000004,0.43069999999999997,0.72,0.9,0.0,400.0,1.0,0.64,0.95,0.0,0.5488999999999999,0.8855000000000001,0.9,0.726,0.43759999999999993,-5.0,INDUSTRIAL,CORE
Machine Teeth / MUTANT,3,0,51.941,0.8605,0.6041,307.5696,0.4925999999999999,0.5001,0.9,0.0,400.0,1.0,0.7412000000000001,0.95,0.0,0.86,0.8965000000000001,0.9,0.5138,0.5625,-5.0,INDUSTRIAL,CORE
Underground Unit / MUTANT,3,0,58.431,0.68,0.5823999999999999,284.0136,0.6496999999999999,0.72,0.9,0.0,400.0,1.0,0.7483,0.9451999999999999,0.0,0.6243,0.8993,0.9,0.85,0.4511,-5.0,INDUSTRIAL,CORE
Rave Foundation,4,0,51.587,0.6994,0.6864,215.47,0.2835,0.6642,0.8549,0.0,400.0,1.0,0.8612,0.7742,0.0,0.6431,0.3496,0.3907,0.3759,0.4994,-5.0,RAVE,CORE
Saw Pressure,4,0,56.511,0.4927,0.7238,257.07,0.4319,0.9294,0.6909,0.0,400.0,1.0,0.6826,0.852,0.0,0.5791,0.2189,0.1401,0.6525,0.2908,-5.0,RAVE,CORE
Warehouse Rave,4,0,57.189,0.4991,0.8999,202.28,0.6756,0.6317,0.5866,0.0,400.0,1.0,0.8779,0.7491,0.0,0.495,0.3997,0.4698,0.3831,0.3908,-5.0,RAVE,CORE
Red Strobe,4,0,53.5,0.7174,0.884,216.95,0.3196,0.6243,0.5146,0.0,400.0,1.0,0.8102,0.8038,0.0,0.7365,0.2069,0.1569,0.73,0.5823,-5.0,RAVE,CORE
Rave Saw,4,0,55.663,0.5117,0.9427,264.52,0.3416,0.7329,0.5443,0.0,400.0,1.0,0.7787,0.9822,0.0,0.6592,0.5426,0.2356,0.3794,0.6445,-5.0,RAVE,CORE
Overdrive 1999,4,0,56.228,0.6871,0.9119,271.91,0.284,0.7562,0.9319,0.0,400.0,1.0,0.6437,0.7627,0.0,0.6485,0.5925,0.3558,0.5366,0.5657,-5.0,RAVE,CORE
Neon Tunnel,4,0,57.331,0.6438,0.8561,184.63,0.3678,0.9167,0.517,0.0,400.0,1.0,0.8724,0.9962,0.0,0.6107,0.3135,0.4539,0.4998,0.4685,-5.0,RAVE,CORE
Acid Hammer,4,0,57.386,0.5424,0.9528,193.92,0.6547,0.5882,0.6393,0.0,400.0,1.0,0.8845,0.9351,0.0,0.3672,0.5183,0.5429,0.6317,0.677,-5.0,RAVE,CORE
Alarm State,4,0,59.733,0.7595,0.7812,216.47,0.508,0.8382,0.7851,0.0,400.0,1.0,0.6458,0.7322,0.0,0.3579,0.5665,0.2982,0.6624,0.2914,-5.0,RAVE,CORE
Belgian Basement,4,0,59.221,0.7481,0.7383,221.85,0.5461,0.9072,0.8975,0.0,400.0,1.0,0.7414,0.9253,0.0,0.6795,0.5033,0.491,0.3697,0.498,-5.0,RAVE,CORE
Rave Foundation / TIGHT,4,0,53.587,0.6194000000000001,0.8064,150.0,0.3035,0.7042,0.8749,0.0,400.0,1.0,0.7212,0.8742,0.0,0.6831,0.4096,0.3607,0.3759,0.46940000000000004,-5.0,RAVE,CORE
Saw Pressure / TIGHT,4,0,58.511,0.42,0.8438,174.8076,0.4519,0.95,0.7109,0.0,400.0,1.0,0.56,0.952,0.0,0.6191,0.27890000000000004,0.1101,0.6525,0.26080000000000003,-5.0,RAVE,CORE
Warehouse Rave / TIGHT,4,0,59.189,0.42,0.99,150.0,0.68,0.6717000000000001,0.6066,0.0,400.0,1.0,0.7379,0.8491,0.0,0.535,0.4597,0.43979999999999997,0.3831,0.3608,-5.0,RAVE,CORE
Red Strobe / TIGHT,4,0,55.5,0.6374000000000001,0.99,150.0,0.3396,0.6643,0.5346,0.0,400.0,1.0,0.6702,0.9037999999999999,0.0,0.76,0.2669,0.1269,0.73,0.5523,-5.0,RAVE,CORE
Rave Saw / TIGHT,4,0,57.663,0.43170000000000003,0.99,179.8736,0.36160000000000003,0.7729,0.5643,0.0,400.0,1.0,0.6386999999999999,0.99,0.0,0.6992,0.6026,0.2056,0.3794,0.6144999999999999,-5.0,RAVE,CORE
Overdrive 1999 / TIGHT,4,0,58.228,0.6071000000000001,0.99,184.89880000000002,0.304,0.7962,0.95,0.0,400.0,1.0,0.56,0.8627,0.0,0.6885,0.65,0.3258,0.5366,0.5357,-5.0,RAVE,CORE
Neon Tunnel / TIGHT,4,0,59.331,0.5638000000000001,0.9761,150.0,0.38780000000000003,0.95,0.537,0.0,400.0,1.0,0.7323999999999999,0.99,0.0,0.6507000000000001,0.3735,0.42390000000000005,0.4998,0.4385,-5.0,RAVE,CORE
Acid Hammer / TIGHT,4,0,59.386,0.4624,0.99,150.0,0.6747,0.6282,0.6593,0.0,400.0,1.0,0.7444999999999999,0.99,0.0,0.4072,0.5783,0.5129,0.6317,0.647,-5.0,RAVE,CORE
Alarm State / TIGHT,4,0,61.733,0.6795,0.9012,150.0,0.528,0.8782,0.8051,0.0,400.0,1.0,0.56,0.8321999999999999,0.0,0.3979,0.6265000000000001,0.2682,0.6624,0.26139999999999997,-5.0,RAVE,CORE
Belgian Basement / TIGHT,4,0,61.221,0.6681,0.8583,150.858,0.5661,0.9472,0.9175,0.0,400.0,1.0,0.6013999999999999,0.99,0.0,0.7195,0.5632999999999999,0.46099999999999997,0.3697,0.46799999999999997,-5.0,RAVE,CORE
Rave Foundation / HEAVY,4,0,49.5,0.8194,0.62,280.111,0.3035,0.5942000000000001,0.8049,0.0,400.0,1.0,0.9,0.7142,0.0,0.6631,0.37960000000000005,0.3607,0.3759,0.5094,-5.0,RAVE,CORE
Saw Pressure / HEAVY,4,0,53.311,0.6127,0.6438,334.19100000000003,0.4519,0.8593999999999999,0.6408999999999999,0.0,400.0,1.0,0.7726,0.792,0.0,0.5991,0.2489,0.1101,0.6525,0.3008,-5.0,RAVE,CORE
Warehouse Rave / HEAVY,4,0,53.989,0.6191,0.8199000000000001,262.964,0.68,0.5617000000000001,0.5366,0.0,400.0,1.0,0.9,0.6891,0.0,0.515,0.42969999999999997,0.43979999999999997,0.3831,0.4008,-5.0,RAVE,CORE
Red Strobe / HEAVY,4,0,50.3,0.82,0.804,282.03499999999997,0.3396,0.5543,0.46459999999999996,0.0,400.0,1.0,0.9,0.7438,0.0,0.7565000000000001,0.2369,0.1269,0.73,0.5923,-5.0,RAVE,CORE
Rave Saw / HEAVY,4,0,52.462999999999994,0.6317,0.8627,343.876,0.36160000000000003,0.6629,0.4943,0.0,400.0,1.0,0.8686999999999999,0.9221999999999999,0.0,0.6792,0.5726,0.2056,0.3794,0.6545,-5.0,RAVE,CORE
Overdrive 1999 / HEAVY,4,0,53.028,0.8071,0.8319000000000001,350.0,0.304,0.6861999999999999,0.8818999999999999,0.0,400.0,1.0,0.7337,0.7027000000000001,0.0,0.6685,0.6225,0.3258,0.5366,0.5757,-5.0,RAVE,CORE
Neon Tunnel / HEAVY,4,0,54.131,0.7638,0.7761,240.019,0.38780000000000003,0.8467,0.467,0.0,400.0,1.0,0.9,0.9361999999999999,0.0,0.6307,0.3435,0.42390000000000005,0.4998,0.47850000000000004,-5.0,RAVE,CORE
Acid Hammer / HEAVY,4,0,54.186,0.6624,0.8728,252.096,0.6747,0.52,0.5892999999999999,0.0,400.0,1.0,0.9,0.8751,0.0,0.38720000000000004,0.5483,0.5129,0.6317,0.68,-5.0,RAVE,CORE
Alarm State / HEAVY,4,0,56.532999999999994,0.82,0.7012,281.411,0.528,0.7682,0.7351,0.0,400.0,1.0,0.7358,0.68,0.0,0.3779,0.5965,0.2682,0.6624,0.3014,-5.0,RAVE,CORE
Belgian Basement / HEAVY,4,0,56.020999999999994,0.82,0.6583,288.40500000000003,0.5661,0.8371999999999999,0.8474999999999999,0.0,400.0,1.0,0.8313999999999999,0.8653,0.0,0.6995,0.5333,0.46099999999999997,0.3697,0.508,-5.0,RAVE,CORE
