display_name,family,wave,mode,tune,body,punch,length,drive,colour,metal,sub,impact,grit,shape,evolve,destroy,clipper,reverb,reverbDecay,width,space,calibration
Tight Basement / MUTANT,ROUND,0,MUTANT,52.784,0.7726,0.5989,340.63,0.5,0.21660000000000001,0.1505,0.68,0.4987,0.1809,0.3913,0.42900000000000005,0.236,0.3,0.0,400.0,1.0,0.0,-5.0
Sub Foundation / MUTANT,ROUND,0,MUTANT,49.356,0.8978999999999999,0.4099,279.9928,0.4275,0.4057,0.1093,0.7651,0.5091,0.32,0.2003,0.1828,0.1681,0.3,0.0,400.0,1.0,0.0,-5.0
Warm Reactor / MUTANT,ROUND,0,MUTANT,48.253,0.8586999999999999,0.4994,323.72040000000004,0.49570000000000003,0.48,0.1329,0.7611,0.6135,0.32,0.42779999999999996,0.3116,0.2758,0.1422,0.0,400.0,1.0,0.0,-5.0
Black Drum / MUTANT,ROUND,0,MUTANT,54.649,0.7524,0.7559,432.2988,0.48460000000000003,0.2267,0.22,0.6967,0.7466,0.32,0.48,0.18030000000000002,0.2027,0.3,0.0,400.0,1.0,0.0,-5.0
Sub Vault / MUTANT,ROUND,0,MUTANT,53.265,0.7129,0.7603000000000001,341.6328,0.5,0.48,0.22,0.7842,0.6763,0.185,0.3079,0.1592,0.1489,0.1326,0.0,400.0,1.0,0.0,-5.0
Clean Attack,PUNCH,1,CORE,51.471,0.7811,0.7119,173.57,0.4075,0.3175,0.1498,0.8577,0.847,0.3138,0.1233,0.1866,0.0913,0.2231,0.0,400.0,1.0,0.0,-5.0
Pressure Point,PUNCH,1,CORE,51.451,0.7604,0.9362,204.67,0.1357,0.6364,0.2127,0.8529,0.8663,0.1266,0.3619,0.2391,0.1152,0.2926,0.0,400.0,1.0,0.0,-5.0
Warehouse Knock,PUNCH,1,CORE,52.567,0.4919,0.9787,210.96,0.3471,0.3966,0.0363,0.9379,0.9146,0.1196,0.2217,0.1835,0.2514,0.1632,0.0,400.0,1.0,0.0,-5.0
Fast Driver,PUNCH,1,CORE,53.222,0.7433,0.7303,194.47,0.3407,0.3874,0.1089,0.9079,0.982,0.2622,0.3779,0.2228,0.1382,0.2815,0.0,400.0,1.0,0.0,-5.0
Techno Nail,PUNCH,1,CORE,58.489,0.6797,0.9114,205.16,0.155,0.2892,0.2903,0.9067,0.9222,0.2848,0.2471,0.2111,0.1996,0.2473,0.0,400.0,1.0,0.0,-5.0
Needle Punch,PUNCH,1,CORE,56.715,0.7184,0.725,247.73,0.1354,0.5214,0.2539,0.8115,0.9283,0.2943,0.1031,0.0737,0.0863,0.2173,0.0,400.0,1.0,0.0,-5.0
Front Row,PUNCH,1,CORE,56.133,0.4997,0.9497,254.27,0.2317,0.5603,0.2382,0.758,0.8018,0.1972,0.1242,0.1796,0.0943,0.0611,0.0,400.0,1.0,0.0,-5.0
Steel Toe,PUNCH,1,CORE,51.148,0.6455,0.9274,251.22,0.2712,0.5668,0.2527,0.9242,0.9666,0.1633,0.1746,0.2631,0.0798,0.2619,0.0,400.0,1.0,0.0,-5.0
Impact Driver,PUNCH,1,CORE,57.868,0.7797,0.9697,187.77,0.4104,0.3674,0.126,0.7536,0.9434,0.3337,0.3054,0.1481,0.16,0.1507,0.0,400.0,1.0,0.0,-5.0
Concrete Punch,PUNCH,1,CORE,55.902,0.6176,0.8728,238.07,0.2496,0.6423,0.2552,0.9261,0.968,0.2151,0.1745,0.2864,0.263,0.0817,0.0,400.0,1.0,0.0,-5.0
Clean Attack / TIGHT,PUNCH,1,TIGHT,53.270999999999994,0.7111000000000001,0.8119,140.0,0.44749999999999995,0.3325,0.1498,0.7577,0.9219999999999999,0.3488,0.1733,0.1616,0.0913,0.2231,0.0,400.0,1.0,0.0,-5.0
Pressure Point / TIGHT,PUNCH,1,TIGHT,53.251,0.6903999999999999,0.99,151.45579999999998,0.1757,0.6514,0.2127,0.7529,0.9412999999999999,0.1616,0.4119,0.2141,0.1152,0.2926,0.0,400.0,1.0,0.0,-5.0
Warehouse Knock / TIGHT,PUNCH,1,TIGHT,54.367,0.4219,0.99,156.1104,0.3871,0.4116,0.0363,0.8379,0.9895999999999999,0.15460000000000002,0.2717,0.1585,0.2514,0.1632,0.0,400.0,1.0,0.0,-5.0
Fast Driver / TIGHT,PUNCH,1,TIGHT,55.022,0.6733,0.8302999999999999,143.9078,0.3807,0.40240000000000004,0.1089,0.8079000000000001,0.99,0.2972,0.4279,0.1978,0.1382,0.2815,0.0,400.0,1.0,0.0,-5.0
Techno Nail / TIGHT,PUNCH,1,TIGHT,60.288999999999994,0.6096999999999999,0.99,151.8184,0.195,0.3042,0.2903,0.8067,0.99,0.3198,0.2971,0.18610000000000002,0.1996,0.2473,0.0,400.0,1.0,0.0,-5.0
Needle Punch / TIGHT,PUNCH,1,TIGHT,58.515,0.6484000000000001,0.825,183.3202,0.1754,0.5364,0.2539,0.7115,0.99,0.32930000000000004,0.1531,0.0487,0.0863,0.2173,0.0,400.0,1.0,0.0,-5.0
Front Row / TIGHT,PUNCH,1,TIGHT,57.933,0.42969999999999997,0.99,188.15980000000002,0.2717,0.5753,0.2382,0.66,0.8767999999999999,0.2322,0.17420000000000002,0.15460000000000002,0.0943,0.0611,0.0,400.0,1.0,0.0,-5.0
Steel Toe / TIGHT,PUNCH,1,TIGHT,52.948,0.5754999999999999,0.99,185.90279999999998,0.3112,0.5818,0.2527,0.8242,0.99,0.1983,0.22460000000000002,0.2381,0.0798,0.2619,0.0,400.0,1.0,0.0,-5.0
Impact Driver / TIGHT,PUNCH,1,TIGHT,59.668,0.7097,0.99,140.0,0.45039999999999997,0.3824,0.126,0.66,0.99,0.3687,0.3554,0.12310000000000001,0.16,0.1507,0.0,400.0,1.0,0.0,-5.0
Concrete Punch / TIGHT,PUNCH,1,TIGHT,57.702,0.5476000000000001,0.9728,176.1718,0.28959999999999997,0.6573,0.2552,0.8261000000000001,0.99,0.2501,0.22449999999999998,0.26139999999999997,0.263,0.0817,0.0,400.0,1.0,0.0,-5.0
